"State","prop_2000","prop_2019","pop_2000","pop_2019","observed_2000","observed_2019","expected_2019","diff"
"New Mexico",0.00651127426939825,0.00639911571229241,1781538,2048116,3.53379102775243,3.31690831964596,3.30880255495776,0.00810576468819874
"New York",0.0672244484489948,0.0589880662876347,18393160,18879859,3.54351003307751,3.4070664404856,3.40019510029575,0.00687134018985349
"North Carolina",0.0284811717719201,0.0318847782745129,7792682,10205117,3.21820728729852,3.17392470855552,3.10992948486459,0.0639952236909272
"North Dakota",0.00226128460808712,0.00230494778473599,618706,737727,3.16274773478841,3.07747716973894,3.04961844646488,0.0278587232740654
"Ohio",0.0403994076273922,0.0355299961743704,11053609,11371814,3.27034799222589,3.18561233942096,3.08149964673557,0.104112692685387
"Oklahoma",0.0121972187273119,0.0120192581977809,3337259,3846912,3.26069268222814,3.29852099554136,3.18029167454424,0.118229320997119
"Oregon",0.0122339427735342,0.0128841990498676,3347307,4123747,3.3434002318879,3.23914997695057,3.18386404766075,0.0552859292898281
"Pennsylvania",0.043279880560595,0.0386653852829949,11841730,12375334,3.26264658964526,3.17231405633173,3.11000349222945,0.0623105641022854
"Rhode Island",0.00368985293002646,0.00318206751392076,1009574,1018460,3.24463981837884,3.08477701627948,3.07358395419953,0.0111930620799545
"South Carolina",0.0141754050897489,0.0156661195274366,3878507,5014135,3.26823233785578,3.1619936439685,3.09450224911158,0.0674913948569203
"South Dakota",0.00265115597140649,0.00265773529849878,725378,850641,3.35497354482766,3.28093872738323,3.20557612767578,0.0753625997074505
"Tennessee",0.0202477524476195,0.0208431171041712,5539951,6671097,3.21171270287409,3.23030455111056,3.0823860464826,0.147918504627955
"Texas",0.0741387223434591,0.0887091661278446,20284962,28392464,3.66454627817395,3.57227283972254,3.5855553077752,-0.0132824680526616
"Utah",0.00800221279921824,0.00985864791568673,2189471,3155382,4.16093887518949,4.02062793031082,4.03066963110066,-0.0100417007898429
"Vermont",0.00214749050188354,0.0018692857930293,587571,598288,3.13490454770572,2.89260189072821,2.85031114871496,0.0422907420132559
"Virginia",0.0250297948860779,0.0259031468456265,6848357,8290622,3.29766278247469,3.27304416966544,3.20698889853003,0.0660552711354081
"Washington",0.0210417381686978,0.0233026378972887,5757192,7458297,3.36742304234425,3.34369012121668,3.23909659167586,0.104593529540825
"West Virginia",0.00645380888536617,0.00545166281164694,1765815,1744872,3.08289826510705,3.07120808861624,2.92661580477302,0.144592283843222
"Wisconsin",0.0190090249307043,0.0177421212944423,5201025,5678585,3.29906566494105,3.11480571304295,3.10374450394142,0.0110612091015311
"Wyoming",0.00175339411891519,0.00176377822486011,479743,564519,3.26099390715446,3.13781112770341,3.10422692986138,0.0335841978420284
