"State","prop_2000","prop_2019","pop_2000","pop_2019","observed_2000","observed_2019","expected_2019","diff"
"Kansas",0.00952020826715369,0.00884551406215391,2604807,2831116,0.399423450566587,0.402033685656116,0.421648196179398,-0.0196145105232817
"Kentucky",0.0143485029752124,0.0135407305079197,3925868,4333878,0.405044693300946,0.403496591274604,0.430897781651997,-0.0274011903773922
"Louisiana",0.015838103825801,0.0141220516197675,4333435,4519937,0.382715790129539,0.385182581084648,0.416026728682613,-0.0308441475979648
"Maine",0.00453147976799452,0.00407708375619365,1239850,1304921,0.418167520264548,0.439482543387684,0.465294481832904,-0.02581193844522
"Maryland",0.0188779177465792,0.0184472307876714,5165153,5904264,0.383165222792045,0.377143196848921,0.404960114721807,-0.0278169178728853
"Massachusetts",0.0224081409549886,0.0207574681667961,6131051,6643684,0.399085409663041,0.398952599190449,0.428949629581559,-0.0299970303911101
"Michigan",0.0353954383566618,0.030499951215755,9684482,9761886,0.390896797577816,0.406669571842982,0.4241638312528,-0.0174942594098177
"Minnesota",0.0174555882728586,0.0172105561132733,4775992,5508451,0.396251082497626,0.403474951488177,0.425653760975086,-0.0221788094869093
"Mississippi",0.010044775888383,0.00900101189034581,2748333,2880885,0.38132387887494,0.381878485257135,0.41855005450025,-0.0366715692431156
"Missouri",0.0198563021842237,0.0186305888126522,5432847,5962950,0.404978089756623,0.412283349684301,0.433113433788561,-0.0208300841042603
"Montana",0.0032079448497513,0.00324885137691985,877720,1039835,0.408190539124094,0.42089273779013,0.44821772650911,-0.0273249887189795
"Nebraska",0.00606296898380547,0.00587405551370885,1658878,1880064,0.401071688213359,0.410217418130447,0.422134580691396,-0.0119171625609492
"Nevada",0.00718772696117527,0.00949407207373233,1966621,3038695,0.382084295855683,0.37624473663859,0.401945193269145,-0.0257004566305549
"New Hampshire",0.00438286945316093,0.00411994103098937,1199189,1318638,0.396230285634708,0.410550886596625,0.440320937865208,-0.0297700512685834
"New Jersey",0.0300451307754141,0.0271827787753404,8220594,8700184,0.373133012042682,0.377718678133704,0.393244504939971,-0.0155258268062671
"New Mexico",0.00651127426939825,0.00639911571229241,1781538,2048116,0.379897594101277,0.387250526825629,0.426347327020365,-0.0390968001947358
"New York",0.0672244484489948,0.0589880662876347,18393160,18879859,0.384355869247046,0.394418729504283,0.412764057408994,-0.0183453279047107
"North Carolina",0.0284811717719201,0.0318847782745129,7792682,10205117,0.402317584626192,0.396498638869108,0.423956680377162,-0.0274580415080537
"North Dakota",0.00226128460808712,0.00230494778473599,618706,737727,0.416199293363892,0.438568738842417,0.457225189535358,-0.018656450692941
"Ohio",0.0403994076273922,0.0355299961743704,11053609,11371814,0.402402057101893,0.415986139062774,0.434791512946805,-0.0188053738840312
"Oklahoma",0.0121972187273119,0.0120192581977809,3337259,3846912,0.402637314035261,0.388688641694949,0.425174144607699,-0.0364855029127497
"Oregon",0.0122339427735342,0.0128841990498676,3347307,4123747,0.39902046630321,0.399893349422261,0.431926883742956,-0.0320335343206948
"Pennsylvania",0.043279880560595,0.0386653852829949,11841730,12375334,0.403749452149306,0.413643704485067,0.436220537874274,-0.0225768333892069
"Rhode Island",0.00368985293002646,0.00318206751392076,1009574,1018460,0.405571062646225,0.399791842585865,0.4334771858357,-0.0336853432498352
"South Carolina",0.0141754050897489,0.0156661195274366,3878507,5014135,0.396346841709967,0.394061388454838,0.42871880448696,-0.034657416032122
"South Dakota",0.00265115597140649,0.00265773529849878,725378,850641,0.400865479791226,0.415952205454475,0.429588047715763,-0.0136358422612877
